Date,Signal Type,Rank,Ticker,Name,Entry Price,Trend Score,Range Momentum,3M Momentum,Entry Score,Entry Quality,Fundamental Score,Fundamental Quality,Signal Score
2026-05-13,Short Term,1,EOG,"EOG Resources, Inc.",134.92999267578125,0.69,0.38,0.15,9,Sehr gut,9,Hoch,20.5
2026-05-13,Short Term,2,FSLR,"First Solar, Inc.",234.6000061035156,0.66,0.32,0.06,8,Sehr gut,10,Hoch,19.0
2026-05-13,Short Term,3,BLK,"BlackRock, Inc.",1094.0999755859375,0.61,0.22,0.04,8,Sehr gut,10,Hoch,17.0
2026-05-13,Short Term,4,OMCL,"Omnicell, Inc.",43.16999816894531,0.58,0.16,0.19,7,Gut,3,Niedrig,16.5
2026-05-13,Short Term,5,C,"Citigroup, Inc.",124.0999984741211,0.84,0.67,0.12,7,Gut,9,Hoch,15.5
2026-05-13,Short Term,6,ANET,"Arista Networks, Inc.",140.69000244140625,0.59,0.18,0.04,7,Gut,9,Hoch,15.5
2026-05-13,Short Term,7,MP,MP Materials Corp.,63.72999954223633,0.55,0.1,0.11,6,Gut,2,Niedrig,15.0
2026-05-13,Short Term,8,DRS,"Leonardo DRS, Inc.",42.5,0.61,0.22,0.13,6,Gut,4,Niedrig,15.0
2026-05-13,Long Term,1,NVDA,NVIDIA Corporation,225.8300018310547,0.98,0.96,0.21,6,Gut,10,Hoch,25.96
2026-05-13,Long Term,2,TD,Toronto Dominion Bank (The),106.54000091552734,0.94,0.88,0.12,6,Gut,10,Hoch,25.88
2026-05-13,Long Term,3,EOG,"EOG Resources, Inc.",134.92999267578125,0.69,0.38,0.15,9,Sehr gut,9,Hoch,24.38
2026-05-13,Long Term,4,FSLR,"First Solar, Inc.",234.6000061035156,0.66,0.32,0.06,8,Sehr gut,10,Hoch,24.32
2026-05-13,Long Term,5,BLK,"BlackRock, Inc.",1094.0999755859375,0.61,0.22,0.04,8,Sehr gut,10,Hoch,24.22
2026-05-13,Long Term,6,MS,Morgan Stanley,193.8300018310547,0.98,0.97,0.16,6,Gut,9,Hoch,23.96
2026-05-13,Long Term,7,C,"Citigroup, Inc.",124.0999984741211,0.84,0.67,0.12,7,Gut,9,Hoch,23.68
2026-05-13,Long Term,8,NEM,Newmont Corporation,118.95999908447266,0.82,0.64,0.01,6,Gut,10,Hoch,23.64
2026-05-13,Early Play,1,ORCL,Oracle Corporation,189.759994506836,0.26,-0.47,0.22,3,Riskant,9,Hoch,28.0
2026-05-13,Early Play,2,ANET,"Arista Networks, Inc.",140.69000244140625,0.59,0.18,0.04,7,Gut,9,Hoch,28.0
2026-05-13,Early Play,3,NFLX,"Netflix, Inc.",87.55999755859375,0.21,-0.58,0.15,3,Riskant,8,Hoch,26.0
2026-05-13,Early Play,4,NVDA,NVIDIA Corporation,225.8300018310547,0.98,0.96,0.21,6,Gut,10,Hoch,25.0
2026-05-13,Early Play,5,BLK,"BlackRock, Inc.",1094.0999755859375,0.61,0.22,0.04,8,Sehr gut,10,Hoch,25.0
2026-05-13,Early Play,6,NU,Nu Holdings Ltd.,12.81999969482422,0.15,-0.69,-0.25,0,Riskant,10,Hoch,25.0
2026-05-13,Early Play,7,TD,Toronto Dominion Bank (The),106.54000091552734,0.94,0.88,0.12,6,Gut,10,Hoch,25.0
2026-05-13,Early Play,8,META,"Meta Platforms, Inc.",616.6300048828125,0.35,-0.3,-0.05,3,Riskant,10,Hoch,25.0
2026-05-14,Short Term,1,FSLR,"First Solar, Inc.",231.6199951171875,0.64,0.28,0.03,8,Sehr gut,10,Hoch,17.0
2026-05-14,Short Term,2,BLK,"BlackRock, Inc.",1104.030029296875,0.64,0.29,0.04,8,Sehr gut,10,Hoch,17.0
2026-05-14,Short Term,3,OMCL,"Omnicell, Inc.",43.79999923706055,0.6,0.2,0.2,7,Gut,3,Niedrig,16.5
2026-05-14,Short Term,4,C,"Citigroup, Inc.",124.81999969482422,0.85,0.7,0.13,7,Gut,9,Hoch,15.5
2026-05-14,Short Term,5,EOG,"EOG Resources, Inc.",135.99000549316406,0.71,0.42,0.14,7,Gut,9,Hoch,15.5
2026-05-14,Short Term,6,ANET,"Arista Networks, Inc.",147.80999755859375,0.67,0.33,0.04,7,Gut,9,Hoch,15.5
2026-05-14,Short Term,7,APO,"Apollo Global Management, Inc. ",135.52000427246094,0.64,0.29,0.09,6,Gut,2,Niedrig,15.0
2026-05-14,Short Term,8,DRS,"Leonardo DRS, Inc.",42.86000061035156,0.63,0.26,0.13,6,Gut,4,Niedrig,15.0
2026-05-14,Long Term,1,TD,Toronto Dominion Bank (The),108.23999786376952,0.98,0.96,0.14,6,Gut,10,Hoch,25.96
2026-05-14,Long Term,2,BLK,"BlackRock, Inc.",1104.030029296875,0.64,0.29,0.04,8,Sehr gut,10,Hoch,24.28
2026-05-14,Long Term,3,FSLR,"First Solar, Inc.",231.6199951171875,0.64,0.28,0.03,8,Sehr gut,10,Hoch,24.28
2026-05-14,Long Term,4,MS,Morgan Stanley,194.52999877929688,0.96,0.92,0.14,6,Gut,9,Hoch,23.92
2026-05-14,Long Term,5,C,"Citigroup, Inc.",124.81999969482422,0.85,0.7,0.13,7,Gut,9,Hoch,23.7
2026-05-14,Long Term,6,CF,"CF Industries Holdings, Inc.",122.97000122070312,0.72,0.43,0.3,7,Gut,9,Hoch,23.44
2026-05-14,Long Term,7,EOG,"EOG Resources, Inc.",135.99000549316406,0.71,0.42,0.14,7,Gut,9,Hoch,23.42
2026-05-14,Long Term,8,KGC,Kinross Gold Corporation,30.88999938964844,0.68,0.37,-0.1,6,Gut,10,Hoch,23.36
2026-05-14,Early Play,1,ORCL,Oracle Corporation,195.6100006103516,0.29,-0.41,0.23,3,Riskant,9,Hoch,28.0
2026-05-14,Early Play,2,NFLX,"Netflix, Inc.",86.94000244140625,0.2,-0.6,0.13,3,Riskant,8,Hoch,26.0
2026-05-14,Early Play,3,FIS,Fidelity National Information S,41.810001373291016,0.0,-0.99,-0.1,1,Riskant,10,Hoch,25.0
2026-05-14,Early Play,4,NU,Nu Holdings Ltd.,12.93000030517578,0.17,-0.66,-0.23,0,Riskant,10,Hoch,25.0
2026-05-14,Early Play,5,NVO,Novo Nordisk A/S,45.79999923706055,0.26,-0.48,-0.04,1,Riskant,10,Hoch,25.0
2026-05-14,Early Play,6,META,"Meta Platforms, Inc.",618.4299926757812,0.36,-0.28,-0.03,3,Riskant,10,Hoch,25.0
2026-05-14,Early Play,7,TD,Toronto Dominion Bank (The),108.23999786376952,0.98,0.96,0.14,6,Gut,10,Hoch,25.0
2026-05-14,Early Play,8,BLK,"BlackRock, Inc.",1104.030029296875,0.64,0.29,0.04,8,Sehr gut,10,Hoch,25.0
2026-05-15,Short Term,1,FSLR,"First Solar, Inc.",233.3699951171875,0.65,0.3,0.03,8,Sehr gut,10,Hoch,17.0
2026-05-15,Short Term,2,BLK,"BlackRock, Inc.",1081.9000244140625,0.57,0.13,0.01,8,Sehr gut,10,Hoch,17.0
2026-05-15,Short Term,3,JD,"JD.com, Inc.",32.0099983215332,0.7,0.4,0.21,7,Gut,2,Niedrig,16.5
2026-05-15,Short Term,4,OMCL,"Omnicell, Inc.",43.119998931884766,0.58,0.16,0.15,7,Gut,3,Niedrig,16.5
2026-05-15,Short Term,5,SHEL,Shell PLC,85.36000061035156,0.7,0.39,0.11,7,Gut,4,Niedrig,16.5
2026-05-15,Short Term,6,EOG,"EOG Resources, Inc.",140.25999450683594,0.79,0.59,0.18,7,Gut,9,Hoch,15.5
2026-05-15,Short Term,7,NIO,NIO Inc.,6.099999904632568,0.59,0.18,0.24,6,Gut,2,Niedrig,15.0
2026-05-15,Short Term,8,APO,"Apollo Global Management, Inc. ",135.3800048828125,0.64,0.28,0.09,6,Gut,2,Niedrig,15.0
2026-05-15,Long Term,1,TD,Toronto Dominion Bank (The),107.63999938964844,0.97,0.93,0.13,6,Gut,10,Hoch,25.94
2026-05-15,Long Term,2,NVDA,NVIDIA Corporation,225.32000732421875,0.9,0.79,0.22,6,Gut,10,Hoch,25.8
2026-05-15,Long Term,3,FSLR,"First Solar, Inc.",233.3699951171875,0.65,0.3,0.03,8,Sehr gut,10,Hoch,24.3
2026-05-15,Long Term,4,BLK,"BlackRock, Inc.",1081.9000244140625,0.57,0.13,0.01,8,Sehr gut,10,Hoch,24.14
2026-05-15,Long Term,5,MS,Morgan Stanley,192.509994506836,0.93,0.87,0.13,6,Gut,9,Hoch,23.86
2026-05-15,Long Term,6,C,"Citigroup, Inc.",123.41999816894533,0.83,0.65,0.09,6,Gut,9,Hoch,23.66
2026-05-15,Long Term,7,EOG,"EOG Resources, Inc.",140.25999450683594,0.79,0.59,0.18,7,Gut,9,Hoch,23.58
2026-05-15,Long Term,8,CF,"CF Industries Holdings, Inc.",125.23999786376952,0.75,0.5,0.34,7,Gut,9,Hoch,23.5
2026-05-15,Early Play,1,BLK,"BlackRock, Inc.",1081.9000244140625,0.57,0.13,0.01,8,Sehr gut,10,Hoch,27.0
2026-05-15,Early Play,2,MSFT,Microsoft Corporation,421.9200134277344,0.33,-0.33,0.07,2,Riskant,8,Hoch,26.0
2026-05-15,Early Play,3,DSGX,The Descartes Systems Group Inc,67.69999694824219,0.09,-0.81,0.04,2,Riskant,8,Hoch,26.0
2026-05-15,Early Play,4,NFLX,"Netflix, Inc.",87.0199966430664,0.2,-0.59,0.13,3,Riskant,8,Hoch,26.0
